DB#,Book,Lesson#,MsgID,GregDate,HijriDate,AudioFilename,Duration
1,كتاب الطهارة,1,2371,06.09.2022,1444/02/09,AUD-20220906-WA0002.m4a,52:16
2,كتاب الطهارة,2,2392,13.09.2022,1444/02/16,AUD-20220912-WA0009.m4a,22:58
3,كتاب الطهارة,3,2402,20.09.2022,1444/02/23,AUD-20220919-WA0017.m4a,26:23
4,كتاب الطهارة,4,2421,09.10.2022,1444/03/07,الدرس_الرابع_من_كتاب_الطهارة_باب_بيان_النجاسات_من_الافنان_الندية.m4a,17:06
5,كتاب الطهارة,5,2464,18.10.2022,1444/03/18,ازالة النجاسات.m4a,24:32
6,كتاب الطهارة,6,2490,24.10.2022,1444/03/27,حسن (1) (1).mp3,46:11
7,كتاب الطهارة,7,2497,24.10.2022,1444/03/28,(رابط خارجي),43:27
8,كتاب الطهارة,8,2521,31.10.2022,1444/04/05,AUD-20221031-WA0000.m4a,31:48
9,كتاب الطهارة,9,2526,01.11.2022,1444/04/06,AUD-20221101-WA0000.m4a,29:23
10,كتاب الطهارة,10,2554,08.11.2022,1444/04/12,AUD-20221107-WA0007.m4a,34:29
11,كتاب الطهارة,11,2556,08.11.2022,1444/04/13,AUD-20221107-WA0008.m4a,24:17
12,كتاب الطهارة,12,2582,14.11.2022,1444/04/19,AUD-20221114-WA0002.m4a,29:58
13,كتاب الطهارة,13,2591,15.11.2022,1444/04/20,AUD-20221115-WA0001.m4a,37:42
14,كتاب الطهارة,14,2673,11.12.2022,1444/05/17,AUD-20221211-WA0006 (4).m4a,33:12
15,كتاب الطهارة,15,2681,13.12.2022,1444/05/18,AUD-20221213-WA0002.m4a,32:32
16,كتاب الطهارة,16,2702,19.12.2022,1444/05/24,AUD-20221218-WA0005.m4a,18:36
17,كتاب الطهارة,17,2706,19.12.2022,1444/05/25,AUD-20221219-WA0002.m4a,37:34
18,كتاب الصلاة,1,2733,26.12.2022,1444/06/02,AUD-20221226-WA0000.m4a,37:32
19,كتاب الصلاة,2,2771,02.01.2023,1444/06/08,AUD-20230101-WA0026.m4a,33:56
20,كتاب الصلاة,3,2774,03.01.2023,1444/06/09,AUD-20230102-WA0010.m4a,37:34
21,كتاب الصلاة,4,2826,09.01.2023,1444/06/15,AUD-20230108-WA0014.m4a,43:15
22,كتاب الصلاة,5,2835,10.01.2023,1444/06/16,AUD-20230109-WA0003.m4a,25:30
23,كتاب الصلاة,6,2870,17.01.2023,1444/06/23,AUD-20230116-WA0021.m4a,34:14
24,كتاب الصلاة,7,2894,23.01.2023,1444/06/30,AUD-20230122-WA0009.m4a,48:37
25,كتاب الصلاة,8,2901,24.01.2023,1444/07/01,AUD-20230124-WA0001.m4a,24:58
26,كتاب الصلاة,9,2936,31.01.2023,1444/07/08,AUD-20230131-WA0000.m4a,42:38
27,كتاب الصلاة,10,2959,06.02.2023,1444/07/14,AUD-20230205-WA0004.m4a,21:42
28,كتاب الصلاة,11,2964,08.02.2023,1444/07/15,AUD-20230207-WA0011.m4a,40:10
29,كتاب الصلاة,12,2986,13.02.2023,1444/07/21,AUD-20230212-WA0015 (1).m4a,12:53
30,كتاب الصلاة,13,2991,14.02.2023,1444/07/22,AUD-20230213-WA0008.m4a,25:36
31,كتاب الصلاة,14,3229,01.05.2023,1444/10/10,AUD-20230430-WA0017.m4a,37:00
32,كتاب الصلاة,15,3235,02.05.2023,1444/10/11,AUD-20230501-WA0012.m4a,34:49
33,كتاب الصلاة,16,3251,08.05.2023,1444/10/17,AUD-20230508-WA0000.m4a,37:35
34,كتاب الصلاة,17,3255,09.05.2023,1444/10/18,AUD-20230509-WA0002.m4a,34:10
35,كتاب الصلاة,18,3304,20.05.2023,1444/10/24,AUD-20230515-WA0008.m4a,51:33
36,كتاب الصلاة,19,3306,21.05.2023,1444/10/25,AUD-20230517-WA0011 (1).m4a,52:10
37,كتاب الصلاة,20,3322,25.05.2023,1444/11/01,AUD-20230524-WA0015.m4a,20:10
38,كتاب الصلاة,21,3324,25.05.2023,1444/10/02,AUD-20230524-WA0016.m4a,32:59
39,كتاب الصلاة,22,3337,30.05.2023,1444/11/08,AUD-20230530-WA0005.m4a,38:07
40,كتاب الصلاة,23,3369,08.06.2023,1444/11/15,AUD-20230608-WA0000.m4a,28:57
