DB#,Section,Lesson#,MsgID,GregDate,HijriDate,AudioFilename,Duration
1,فتاوى العقيدة,1,3544,15.08.2023,1445/01/28,AUD-20230815-WA0007.m4a,7:33
2,فتاوى العقيدة,2,3555,17.08.2023,1445/02/01,Ringtone_AUD-20230817-WA0003.mp3,10:34
3,فتاوى العقيدة,3,3566,20.08.2023,1445/02/04,AUD-20230820-WA0008.m4a,5:53
4,فتاوى العقيدة,4,3574,23.08.2023,1445/02/06,AUD-20230822-WA0002.m4a,13:48
5,فتاوى العقيدة,5,3587,25.08.2023,1445/02/08,AUD-20230824-WA0005.m4a,9:35
6,فتاوى العقيدة,6,3613,30.08.2023,1445/02/13,AUD-20230829-WA0003.m4a,7:05
7,فتاوى العقيدة,7,3619,31.08.2023,1445/02/15,AUD-20230831-WA0007.m4a,8:22
8,فتاوى العقيدة,8,3637,05.09.2023,1445/02/20,AUD-20230905-WA0005.m4a,10:48
9,فتاوى العقيدة,9,3654,08.09.2023,1445/02/22,Ringtone_AUD-20230908-WA0000.mp3,5:37
10,فتاوى العقيدة,10,3659,10.09.2023,1445/02/25,AUD-20230910-WA0000.m4a,8:42
11,فتاوى العقيدة,11,3674,15.09.2023,1445/02/30,AUD-20230915-WA0003.m4a,10:23
12,فتاوى العقيدة,12,3677,16.09.2023,1445/03/01,Ringtone_AUD-20230915-WA0006.mp3,9:50
13,فتاوى العقيدة,13,3681,17.09.2023,1445/03/02,AUD-20230917-WA0005.m4a,7:15
14,فتاوى العقيدة,14,3692,20.09.2023,1445/03/05,AUD-20230919-WA0007.m4a,6:38
15,فتاوى العقيدة,15,3701,24.09.2023,1445/03/09,Ringtone_AUD-20230924-WA0006 (1).mp3,7:33
16,فتاوى العقيدة,16,3716,26.09.2023,1445/03/11,AUD-20230926-WA0002.m4a,9:21
17,فتاوى العقيدة,17,3724,29.09.2023,1445/03/14,AUD-20230929-WA0001.m4a,6:43
18,فتاوى العقيدة,18,3743,06.10.2023,1445/03/21,AUD-20231006-WA0000.m4a,7:15
19,فتاوى العقيدة,19,3749,06.10.2023,1445/03/21,AUD-20231006-WA0004.m4a,8:02
20,فتاوى العقيدة,20,3770,14.10.2023,1445/03/29,Ringtone_AUD-20231014-WA0000.mp3,8:29
21,فتاوى العقيدة,21,3780,16.10.2023,1445/04/01,AUD-20231016-WA0006.m4a,6:32
22,فتاوى العقيدة,22,3790,20.10.2023,1445/04/05,Ringtone_AUD-20231020-WA0001.m4a,14:24
23,فتاوى العقيدة,23,3823,26.11.2023,1445/05/12,الدرس_23_من_فتاوى_أركان_الإسلام_للشيخ_حسن_بن_محمد_الدغريري.mp3,07:55
24,فتاوى العقيدة,24,3824,26.11.2023,1445/05/12,الدرس_24_من_فتاوى_أركان_الإسلام_للشيخ_حسن_بن_محمد_الدغريري.mp3,10:58
25,فتاوى العقيدة,25,3825,26.11.2023,1445/05/12,الدرس_25_من_فتاوى_أركان_الإسلام_للشيخ_حسن_بن_محمد_الدغريري.mp3,07:37
26,فتاوى العقيدة,26,3826,26.11.2023,1445/05/12,الدرس_26_من_فتاوى_أركان_الإسلام_للشيخ_حسن_بن_محمد_الدغريري.mp3,10:04
27,فتاوى العقيدة,28,3863,06.12.2023,1445/05/22,من_فتاوى_أركان_الإسلام_في_العقيدة_الدرس_رقم_٢٨.m4a,08:21
28,فتاوى العقيدة,29,3875,17.12.2023,1445/06/04,فتاوى_اركان_الإسلام_الدرس_رقم_٢٩.m4a,06:01
29,فتاوى العقيدة,30,3935,01.01.2024,1445/06/19,AUD-20231231-WA0013.m4a,06:17
30,فتاوى العقيدة,31,3949,03.01.2024,1445/06/21,AUD-20240102-WA0010.m4a,06:23
31,فتاوى العقيدة,32,3988,15.01.2024,1445/07/03,AUD-20240114-WA0012.m4a,05:11
32,فتاوى العقيدة,33,4049,25.01.2024,1445/07/13,AUD-20240119-WA0000.m4a,8:23
33,فتاوى العقيدة,34,4051,25.01.2024,1445/07/13,AUD-20240125-WA0002.m4a,8:00
34,فتاوى العقيدة,35,4101,01.02.2024,1445/07/20,AUD-20240201-WA0010.m4a,11:28
35,فتاوى العقيدة,36,4129,09.02.2024,1445/07/28,AUD-20240208-WA0001.m4a,11:56
36,فتاوى العقيدة,37,4131,09.02.2024,1445/07/28,AUD-20240208-WA0002.m4a,6:08
37,فتاوى العقيدة,38,4141,12.02.2024,1445/08/02,AUD-20240211-WA0012.m4a,7:49
38,فتاوى العقيدة,39,4157,15.02.2024,1445/08/05,AUD-20240215-WA0004.m4a,11:49
39,فتاوى العقيدة,40,4166,19.02.2024,1445/08/09,AUD-20240219-WA0000.m4a,5:04
40,فتاوى العقيدة,41,4173,20.02.2024,1445/08/10,AUD-20240220-WA0002.m4a,10:40
41,فتاوى العقيدة,42,4186,23.02.2024,1445/08/13,AUD-20240222-WA0005.m4a,5:28
42,فتاوى العقيدة,43,4191,25.02.2024,1445/08/15,AUD-20240225-WA0003.m4a,6:32
43,فتاوى العقيدة,44,4217,01.03.2024,1445/08/20,AUD-20240229-WA0004.m4a,4:11
44,فتاوى العقيدة,45,4227,04.03.2024,1445/08/23,AUD-20240303-WA0005.m4a,7:06
45,فتاوى العقيدة,46,4232,04.03.2024,1445/08/23,AUD-20240304-WA0005.m4a,11:16
46,فتاوى العقيدة,47,4234,08.03.2024,1445/08/27,AUD-20240307-WA0023.m4a,7:30
47,فتاوى العقيدة,48,4236,08.03.2024,1445/08/27,AUD-20240307-WA0024.m4a,9:05
48,فتاوى العقيدة,49,4321,24.04.2024,1445/10/15,AUD-20240421-WA0011.m4a,6:04
49,فتاوى العقيدة,50,4331,26.04.2024,1445/10/17,AUD-20240425-WA0000.m4a,5:50
50,كتاب الصيام,1,4243,12.03.2024,1445/09/02,AUD-20240311-WA0005.m4a,6:47
51,كتاب الصيام,2,4247,15.03.2024,1445/09/05,AUD-20240315-WA0000.m4a,6:30
52,كتاب الصيام,3,4251,19.03.2024,1445/09/09,AUD-20240318-WA0031.m4a,12:02
53,كتاب الصيام,4,4253,19.03.2024,1445/09/09,AUD-20240318-WA0032.m4a,6:32
54,كتاب الصيام,5,4255,21.03.2024,1445/09/11,AUD-20240320-WA0001.m4a,10:56
55,كتاب الصيام,6,4257,22.03.2024,1445/09/12,AUD-20240321-WA0001.m4a,7:01
56,كتاب الصيام,7,4264,24.03.2024,1445/09/14,AUD-20240323-WA0007-[AudioTrimmer.com].m4a,11:03
57,كتاب الصيام,8,4269,24.03.2024,1445/09/14,AUD-20240324-WA0008.m4a,5:50
58,كتاب الصيام,9,4273,27.03.2024,1445/09/17,AUD-20240327-WA0012.m4a,5:48
59,كتاب الصيام,10,4275,28.03.2024,1445/09/18,AUD-20240328-WA0000.m4a,7:07
60,كتاب الصيام,11,4279,01.04.2024,1445/09/22,AUD-20240331-WA0005.m4a,8:34
61,كتاب الصيام,12,4281,03.04.2024,1445/09/24,AUD-20240403-WA0018.m4a,8:09
62,كتاب الصيام,13,4289,08.04.2024,1445/09/29,AUD-20240408-WA0000.m4a,10:09
63,كتاب الصلاة,1,4350,30.04.2024,1445/10/21,AUD-20240429-WA0005.m4a,6:54
64,كتاب الصلاة,2,4352,30.04.2024,1445/10/21,AUD-20240430-WA0005.m4a,10:26
65,كتاب الصلاة,3,4366,06.05.2024,1445/10/27,AUD-20240505-WA0005.m4a,8:47
66,كتاب الصلاة,4,4380,08.05.2024,1445/10/29,AUD-20240507-WA0006.m4a,6:30
67,كتاب الصلاة,5,4384,09.05.2024,1445/11/01,AUD-20240509-WA0000.m4a,7:31
68,كتاب الصلاة,6,4389,13.05.2024,1445/11/05,AUD-20240512-WA0004.m4a,8:18
69,كتاب الصلاة,7,4401,16.05.2024,1445/11/08,AUD-20240516-WA0006.m4a,7:01
70,كتاب الصلاة,8,4498,23.06.2024,1445/12/17,AUD-20240623-WA0004.m4a,9:06
71,كتاب الصلاة,9,4500,26.06.2024,1445/12/20,AUD-20240625-WA0013.m4a,11:07
72,كتاب الصلاة,10,4505,01.07.2024,1445/12/25,AUD-20240701-WA0003.m4a,6:18
73,كتاب الصلاة,11,4509,07.07.2024,1446/01/01,AUD-20240707-WA0000.m4a,11:51
74,كتاب الصلاة,12,4518,18.07.2024,1446/01/12,AUD-20240718-WA0002.m4a,6:46
75,كتاب الصلاة,13,4526,29.07.2024,1446/01/23,AUD-20240729-WA0001.m4a,6:31
76,كتاب الصلاة,14,4528,29.07.2024,1446/01/23,AUD-20240729-WA0000.m4a,5:55
77,كتاب الصلاة,15,4542,05.08.2024,1446/02/01,AUD-20240805-WA0007.m4a,5:43
78,كتاب الصلاة,16,4544,05.08.2024,1446/02/01,AUD-20240805-WA0008.m4a,9:23
79,كتاب الصلاة,17,4546,07.08.2024,1446/02/03,AUD-20240807-WA0008.m4a,7:14
80,كتاب الصلاة,18,4552,10.08.2024,1446/02/06,AUD-20240810-WA0003.m4a,7:39
