DB#,Lesson#,MsgID,GregDate,HijriDate,AudioFilename,Duration
1,1,3878,18.12.2023,1445/06/05,شرح الفقه الميسر 01.mp3,
2,2,307,09.02.2019,1440/06/04,شرح الفقه الميسر 02.mp3,
3,3,308,09.02.2019,1440/06/04,شرح الفقه الميسر 03.mp3,
4,4,317,18.02.2019,1440/06/13,شرح الفقه الميسر 04.mp3,
5,5,318,18.02.2019,1440/06/13,شرح الفقه الميسر 05.mp3,
6,6,392,03.07.2019,1440/10/30,شرح الفقه الميسر 06.3gp,
7,7,393,03.07.2019,1440/10/30,شرح الفقه الميسر 07.3gp,
8,8,(missing from index),,,,
9,9,397,09.07.2019,1440/11/06,شرح الفقه الميسر 09.3gp,
10,10,399,24.07.2019,1440/11/21,شرح الفقه الميسر 10.3gp,
11,11,(missing from index),,,,
12,12,416,25.08.2019,1440/12/24,شرح الفقه الميسر 12.3gp,
13,13,417,25.08.2019,1440/12/24,شرح الفقه الميسر 13.3gp,
14,14,(missing from index),,,,
15,15,418,25.08.2019,1440/12/24,شرح الفقه الميسر 15.3gp,
16,16,419,26.08.2019,1440/12/25,شرح الفقه الميسر 16 (كتاب الصلاة).3gp,
17,17,428,04.09.2019,1441/01/05,شرح الفقه الميسر 17 (كتاب الصلاة).m4a,
18,18,430,09.09.2019,1441/01/10,شرح الفقه الميسر 18 (كتاب الصلاة) .3gp,
19,19,435,15.09.2019,1441/01/16,شرح الفقه الميسر 19 (كتاب الصلاة).3gp,
20,20,447,24.09.2019,1441/01/25,شرح الفقه الميسر 20 (كتاب الصلاة).3gp,
21,21,452,01.10.2019,1441/02/02,شرح الفقه الميسر 21 (كتاب الصلاة).3gp,
22,22,458,07.10.2019,1441/02/08,شرح الفقه الميسر 22 (كتاب الصلاة).3gp,
23,23,561,31.12.2019,1441/05/05,شرح الفقه الميسر (كتاب الصلاة) 23.mp3,
24,24,562,31.12.2019,1441/05/05,شرح الفقه الميسر (كتاب الصلاة) 24.mp3,
25,25,563,31.12.2019,1441/05/05,شرح الفقة الميسر (كتاب الصلاة) 25.mp3,
26,26,564,31.12.2019,1441/05/05,شرح الففه الميسر (كتاب الصلاة) 26.3gp,
27,27,565,31.12.2019,1441/05/05,شرح الفقه الميسر (كتاب الصلاة) 27.3gp,
28,28,566,31.12.2019,1441/05/05,شرح الفقه الميسر (كتاب الصلاة) 28.3gp,
29,29,567,31.12.2019,1441/05/05,شرح الفقه الميسر (كتاب الصلاة) 29.3gp,
30,30,568,31.12.2019,1441/05/05,شرح الفقه الميسر (كتاب الصلاة) 30.m4a,
31,31,569,31.12.2019,1441/05/05,شرح الفقه الميسر (كتاب الصلاة) 31.3gp,
32,32,570,31.12.2019,1441/05/05,شرح الفقه الميسر (كتاب الصلاة) 32.3gp,
33,33,(missing from index),,,,
34,34,599,20.01.2020,1441/05/25,(no audio attachment),
35,35,615,29.01.2020,1441/06/04,شرح الفقه الميسر (كتاب الجنائر) 35.m4a,
36,36,626,03.02.2020,1441/06/09,شرح الفقه الميسر (كتاب الجنائز) 36.m4a,
37,37,644,16.02.2020,1441/06/22,شرح الفقه الميسر (كتاب الجنائر) 37.m4a,
38,38,648,17.02.2020,1441/06/23,شرح الفقه الميسر (كتاب الجنائز) 38.m4a,
39,39,668,26.02.2020,1441/07/02,(no audio attachment),
40,40,677,02.03.2020,1441/07/07,شرح الففه الميسر كتاب الزكاة 40.mp3,
41,41,716,16.03.2020,1441/07/21,شرح الفقه الميسر (كتاب الزكاة) 41.m4a,
42,42,750,23.03.2020,1441/07/28,شرح الفقه الميسر (كتاب الزكاة) 42.m4a,
43,43,796,30.03.2020,1441/08/06,شرح الفقه الميسر (كتاب الزكاة) 43.m4a,
44,44,840,06.04.2020,1441/08/13,شرح الفقه الميسر (كتاب الزكاة) 44.m4a,
45,45,886,22.04.2020,1441/08/29,شرح الفقه الميسر (كتاب الزكاة) 45.m4a,
46,46,887,22.04.2020,1441/08/29,شرح الفقه الميسر (كتاب الصيام) 46.m4a,
47,47,889,22.04.2020,1441/08/29,شرح الفقه الميسر (كتاب الصيام) 47.m4a,
48,48,902,29.04.2020,1441/09/06,شرح الفقه الميسر (كتاب الصيام) 48.m4a,
49,49,903,29.04.2020,1441/09/06,شرح الفقه الميسر (كتاب الصيام) 49.m4a,
50,50,914,05.05.2020,1441/09/12,شرح الفقه الميسر (كتاب الصيام) 50.m4a,
51,51,923,06.05.2020,1441/09/13,شرح الفقه الميسر (كتاب الصيام) 51.m4a,
52,52,980,01.06.2020,1441/10/09,شرح الغقه الميسر 52 (كتاب الحج).m4a,
53,53,1000,18.06.2020,1441/10/26,شرح الفقه الميسر 53 (كتاب الحج).m4a,
54,54,1002,18.06.2020,1441/10/26,شرح الفقه الميسر 54 (كتاب الحج).m4a,
55,55,1018,23.06.2020,1441/11/02,شرح الفقه الميسر 55 (كتاب الحج).m4a,
56,56,1045,08.07.2020,1441/11/17,شرح الفقه الميسر 56 (كتاب الحج).m4a,
57,57,1062,15.07.2020,1441/11/24,شرح الفقه الميسر 57 (كتاب الحج).m4a,
58,58,1097,27.07.2020,1441/12/06,شرح الفقه الميسر 58 (كتاب الحج).m4a,
59,59,1099,27.07.2020,1441/12/06,شرح الفقه الميسر 59 (كتاب الحج).m4a,
60,60,1118,03.08.2020,1441/12/13,شرح الفقه الميسر 60 (كتاب الجهاد).m4a,
61,61,1122,10.08.2020,1441/12/20,شرح الفقه الميسر 61 (كتاب الجهاد).m4a,
62,62,1134,17.08.2020,1441/12/27,شرح الفقه الميسر 62 (كتاب الجهاد).m4a,
63,63,1166,31.08.2020,1442/01/12,شرح_الفقه_الميسر_63_كتاب_البيوع_1.m4a,
64,64,1168,31.08.2020,1442/01/12,شرح_الفقه_الميسر_64_كتاب_الببوع_2.m4a,
65,65,1181,07.09.2020,1442/01/19,شرح_الفقه_الميسر_65_كتاب_المعاملات_3.m4a,
66,66,1193,14.09.2020,1442/01/26,شرح_الفقه_الميسر_66_كتاب_المعاملات_الدرس_4.m4a,
67,67,1202,21.09.2020,1442/02/04,شرح_الفقه_الميسر_67_كتاب_المعاملات_الدرس_5.m4a,
68,68,1211,28.09.2020,1442/02/11,شرح_الفقه_الميسر_68_كتاب_المعاملات_الدرس_06.m4a,
69,69,1236,14.10.2020,1442/02/27,شرح_الفقه_الميسر_69_كتاب_المعاملات_الدرس_7.m4a,
70,70,1249,19.10.2020,1442/03/02,شرح_الفقه_الميسر_70_كتاب_المعاملات_الدرس_08.m4a,
71,71,1264,26.10.2020,1442/03/09,شرح_الفقه_الميسر_71_كتاب_المعاملات_الدرس_09.m4a,
72,72,1283,09.11.2020,1442/03/23,شرح_الفقه_الميسر_72_كتاب_المعاملات_الدرس_10_.m4a,
73,73,1294,18.11.2020,1442/04/03,شرح_الفقه_الميسر_73_كتاب_المعاملات_الشركة.m4a,
74,74,1303,23.11.2020,1442/04/08,شرح_الفقه_الميسر_74_كتاب_المعاملات_الإجارة.m4a,
75,75,1309,30.11.2020,1442/04/15,شرح_الفقه_الميسر_75_كتاب_المعاملات_المزارعة_.m4a,
76,76,1327,07.12.2020,1442/04/22,شرح_الفقه_الميسر_76_كتاب_المعاملات_باب_الشفعة.m4a,
77,77,1338,14.12.2020,1442/04/29,شرح_الفقه_الميسر_77_كتاب_المعاملات.m4a,
78,78,1370,18.01.2021,1442/06/05,شرح_الفقه_الميسر_78_كتاب_المعاملات_الغصب.m4a,
79,79,1377,25.01.2021,1442/06/12,شرح_الفقه_الميسر_79_كتاب_المعاملات_الصلح.m4a,
80,80,1394,08.02.2021,1442/06/26,شرح الفقه الميسر 80.m4a,
81,81,1404,15.02.2021,1442/07/03,شرح_الفقه_الميسر_81_كتاب_المعاملات_العارية.m4a,
82,82,1412,22.02.2021,1442/07/10,شرح_الفقه_الميسر_82_كتاب_المعاملات.m4a,
83,83,1422,01.03.2021,1442/07/17,AUD-20210228-WA0002.m4a,
84,84,1437,08.03.2021,1442/07/24,AUD-20210308-WA0000.m4a,
85,85,1451,14.03.2021,1442/08/01,AUD-20210314-WA0006.m4a,
86,86,1460,29.03.2021,1442/08/16,AUD-20210329-WA0000.m4a,
87,87,1476,06.04.2021,1442/08/24,AUD-20210405-WA0007.m4a,
88,88,1541,16.05.2021,1442/10/04,AUD-20210516-WA0002.m4a,
89,89,1548,24.05.2021,1442/10/11,AUD-20210524-WA0002.m4a,
90,90,1576,07.06.2021,1442/10/25,AUD-20210606-WA0000.m4a,
91,91,1602,21.06.2021,1442/11/10,AUD-20210621-WA0000.m4a,
92,92,1631,28.06.2021,1442/11/17,AUD-20210628-WA0003.m4a,
93,93,1654,05.07.2021,1442/11/24,الفقه الميسر 93 (كتاب المواريث).m4a,
94,94,1718,29.08.2021,1443/01/21,AUD-20210829-WA0009.mp3,
95,95,1732,06.09.2021,1443/01/29,شرح_الفقه_الميسر_95_كتاب_النكاح_والطلاق.m4a,
96,96,1744,28.09.2021,1443/02/21,(no audio attachment),
