DB#	Ch#	MsgID	GregDate	HijriDate	AudioFilename	Title	Duration
1	1	209	18/10/2018	1439/07/27	قصة_الإسراء_والمعراج_٢٧_٧_١٤٣٩.m4a	قصة الإسراء والمعراج	19:00
2	2	212	25/10/2018	1439/11/14	أسباب_صلاح_الأولاد@_١٤_١١_١٤٣٩.m4a	أسباب صلاح الأولاد	15:35
3	3	214	28/10/2018	1440/02/19	من أحكام النكاح 1.amr	من أحكام النكاح 1	19:54
4	4	259	25/01/2019	1440/05/19	أضرار القات على الفرد والمجتمع.m4a	أضرار القات على الفرد والمجتمع	17:31
5	5	341	17/05/2019	1440/08/27	وقفات مع شهر رمضان 1-[AudioTrimmer.com].m4a	وقفات مع شهر رمضان (١)	16:59
6	6	343	17/05/2019	1440/09/05	وقفات مع شهر رمضان 2-[AudioTrimmer.com].m4a	وقفات مع شهر رمضان (٢)	16:11
7	7	345	17/05/2019	1440/09/12	وقفات مع شهر رمضان 3-[AudioTrimmer.com].m4a	وقفات مع شهر رمضان (٣)	17:53
8	8	349	24/05/2019	1440/09/19	وقفات مع شهر رمضان 4-[AudioTrimmer.com].m4a	وقفات مع شهر رمضان (٤)	17:15
9	9	352	01/06/2019	1440/09/26	وقفات مع شهر رمضان 5-[AudioTrimmer.com].m4a	وقفات مع شهر رمضان (٥)	16:48
10	10	388	28/06/2019	1440/10/25	الموت_ووجوب_الاستعداد_له_AudioTrimmer.m4a	الموت ووجوب الاستعداد له	16:32
11	11	398	12/07/2019	1440/11/09	منكرات الزواج-[AudioTrimmer.com].m4a	منكرات النكاح	15:57
12	12	421	30/08/2019	1440/12/29	نهاية عام وبداية عام دراسي جديد.m4a	نهاية عام وبداية عام دراسي جديد	12:56
13	13	433	14/09/2019	1441/01/15	الهجرة النبوية.m4a	الهجرة النبوية	11:19
14	14	441	21/09/2019	1441/01/22	نعمة الأمن وبيان أسبابه.m4a	نعمة الأمن وبيان أسبابه	12:14
15	15	451	28/09/2019	1441/01/29	أهمية العقيدة الإسلامية وفضلها.m4a	أهمية العقيدة الإسلامية وفضلها	14:28
16	16	455	04/10/2019	1441/02/05	من حقوق الخدم والعمال.m4a	من حقوق الخدم والعمال	14:12
17	17	465	10/10/2019	1440/11/23	النفخ في الصور.m4a	النفخ في الصور	15:00
18	18	495	12/11/2019	1441/03/15	من أحكام النكاح ١.MP3	من أحكام النكاح ١	19:54
19	19	496	12/11/2019	1441/03/15	من أحكام النكاح ٢.MP3	من أحكام النكاح ٢	24:36
20	20	497	12/11/2019	1441/03/15	من أحكام النكاح ٣.MP3	من أحكام النكاح ٣	21:55
21	21	498	12/11/2019	1441/03/15	من أحكام النكاح ٤.MP3	من أحكام النكاح ٤	22:18
22	22	513	23/11/2019	1441/03/25	بعض_المظاهر_السيئة_عند_العمال_والموظفين.m4a	بعض المظاهر السيئة عند العمال والموظفين	14:01
23	23	523	29/11/2019	1441/04/02	آيات_من_سورة_الأعراف_وتفسيرها_٢.m4a	آيات من سورة الأعراف وتفسيرها	16:04
24	24	550	21/12/2019	1441/04/16	الإيمان بالملائكة ١٦-٤-١٤٤١.m4a	الإيمان بالملائكة	15:42
25	25	551	21/12/2019	1441/04/23	فصل الشتاء ٢٣-٤-١٤٤١.m4a	فصل الشتاء	15:05
26	26	580	03/01/2020	1441/05/08	قصة_ابراهيم_عليه_السلام_١_٨_٥_١٤٤١.m4a	قصة ابراهيم عليه السلام ( ١ )	17:49
27	27	607	25/01/2020	1441/05/29	الكتب الالهية ١.m4a	الكتب الإلهية ( ١ )	11:13
28	28	621	31/01/2020	1441/06/06	الايمان_بالرسل_عليهم_الصلاة_والسلام.m4a	الايمان بالرسل عليهم الصلاة والسلام	14:37
29	29	630	08/02/2020	1441/06/13	الجوالات الحديثة.m4a	الجوالات الحديثة	15:38
30	30	643	15/02/2020	1441/06/20	آيات في وصف الجنة ٢٠ - ٦ - ١٤٤١.m4a	آيات في وصف الجنة	16:55
31	31	657	21/02/2020	1441/06/27	طلوع الشمس من مغربها ١٧ - ٦ - ١٤٤١.m4a	طلوع الشمس من مغربها	15:03
32	32	672	28/02/2020	1441/07/04	مرض (فيروس كورونا).m4a	مرض فيروس كورونا	14:45
33	33	683	06/03/2020	1441/07/11	تفسير_سورة_الفاتحة_وشيءمن_فوائدها.mp3	تفسير سورة الفاتحة وشيء من فوائدها	15:05
34	34	707	13/03/2020	1441/07/18	الأذكار النبوية ١٨ رجب ١٤٤١.m4a	الأذكار النبوية	11:55
35	35	784	28/03/2020	1439/08/04	صوم شعبان.m4a	صوم شعبان	15:22
36	36	945	12/05/2020	1441/09/19	udr60zI4xE8.m4a	العشر الآواخر من رمضان	18:51
37	37	977	30/05/2020	1441/10/07	ماذا بعد رمضان ؟ شوال ١٤٣٧.m4a	ماذا بعد رمضان ؟	14:50
38	38	983	06/06/2020	1441/10/13	الأخذ_بالاحترازات_الوقائية_١٣_شوال_١٤٤١.m4a	الأخذ بالاحترازات الوقائية	09:32
39	39	990	12/06/2020	1441/10/20	الدروس_المستفادة_من_جائحة_كورونا_٢٠_شوال_١٤٤١.m4a	الدروس المستفادة من جائحة كورونا	09:01
40	40	1005	19/06/2020	1441/10/27	الدعاء_ثمراته_وآدابه_٢٧_شوال_١٤٤١.m4a	الدعاء ثمراته وآدابه	10:35
41	41	1022	27/06/2020	1441/11/05	الحج_على_المستطيع_في_ظل_جائحة_كورونا.m4a	الحج على المستطيع في ظل جائحة كورونا	08:45
42	42	1038	04/07/2020	1441/11/12	الصلاة_في_المساجد_في_ظل_وباء_كورونا.m4a	الصلاة في المساجد في ظل وباء كورونا	09:29
43	43	1059	10/07/2020	1441/11/19	الأشهر الحرم في ظل جائحة كورونا.m4a	الأشهُر الحُرُم في ظل جائحة كورونا	07:56
44	44	1067	17/07/2020	1440/12/01	أيام العشر من ذي الحجة ١٤٤٠.m4a	أيام العشر من ذي الحجة	18:13
45	45	1088	25/07/2020	1441/12/03	من أحكام الأضحية ٣-١٢-١٤٤١.m4a	من أحكام الأضحية	10:22
46	46	1114	01/08/2020	1441/12/10	نجاح حج عام ١٤٤١.m4a	نجاح حج ١٤٤١هـ	06:21
47	47	1129	14/08/2020	1441/12/24	في ظلال حديث نبوي شريف ( ١ ).m4a	في ظلال حديث نبوي شريف ( ١ )	12:34
48	48	1142	21/08/2020	1442/01/02	في ظلال حديث نبوي شريف ( ٢ ).m4a	في ظلال حديث نبوي شريف ( ٢ )	09:53
49	49	1163	28/08/2020	1442/01/09	التعليم_ودعم_الحكومة_السعودية_له_٩_١_١٤٤٢.m4a	التعليم ودعم الحكومة السعودية له	10:43
50	50	1177	04/09/2020	1442/01/16	في_ظلال_حديث_نبوي_شريف_٣_١٦_١_١٤٤٢.m4a	في ظلال حديث نبوي شريف ( ٣ )	11:24
51	51	1189	12/09/2020	1442/01/24	في_ظلال_آية_قرآنية_كريمة_١_٢٣_١_١٤٤٢.m4a	في ظلال آية قرآنية كريمة (١)	11:05
52	52	1199	18/09/2020	1442/02/01	المملكة_العربية_السعودية_١_٢_١٤٤٢.m4a	المملكة العربية السعودية	09:46
53	53	1208	25/09/2020	1442/02/08	في_ظلال_آية_قرآنية_كريمة_٢_٨_٢_١٤٤٢.m4a	في ظلال آية قرآنية كريمة (٢)	10:49
54	54	1228	09/10/2020	1442/02/15	الإيمان_باليوم_الآخر_٥_والأخذ_بالاحترازات.m4a	الإيمان باليوم الآخر (٥) والأخذ بالاحترازات من كورونا	12:30
55	55	1230	09/10/2020	1442/02/22	الإيمان_بالقضاء_والقدر_٦_٢٢_٢_١٤٤٢.m4a	الإيمان بالقضاء والقدر (٦)	11:26
56	56	1234	14/10/2020	1441/03/04	الايمان بالله ٤ - ٣ - ١٤٤١.m4a	الإيمان بالله تعالى	20:17
57	57	1240	16/10/2020	1442/02/29	الدُّخَان ٢٩ - ٢ - ١٤٤٢.m4a	الدُّخَان	11:45
58	58	1258	20/10/2020	1438/03/10	الاحتفال_بالمولد_النبوي_١٠_٣_١٤٤٣٨.m4a	الاحتفال بالمولد النبوي	17:43
59	59	1260	23/10/2020	1442/03/06	خصائص_النبي_صلى_الله_عليه_وسلم_والاخذ_بالاحترا.m4a	خصائص النبي صلى الله عليه وسلم والأخذ بالاحترازات الطبية	12:13
60	60	1269	30/10/2020	1442/03/13	سلسلة_الحقوق_الشرعية_٢_حق_رسول_الله_ﷺ_.mp3	حق رسول الله ﷺ	16:41
61	61	1277	06/11/2020	1442/03/20	من_خصائص_النبي_صلى_الله_عليه_وسلم_٢.m4a	خصائص النبي صلى الله عليه وسلم (٢)	11:51
62	62	1291	13/11/2020	1442/03/27	الحذر من الجماعات المفرقة.m4a	الحذر من الجماعات المفسدة	11:48
63	63	1300	20/11/2020	1442/04/05	البعث والنشور ٥ - ٤ - ١٤٤٢.m4a	البعث والنشور	14:01
64	64	1307	27/11/2020	1442/04/12	رزق الله تعالى لعباده ١٢ - ٤ - ١٤٤٢.m4a	رزق الله تعالى لعباده	12:50
65	65	1310	01/12/2020	1441/07/11	تفسير_سورة_الفاتحة_وشيءمن_فوائدها.mp3	تفسير سورة الفاتحة وشيء من فوائدها	15:05
66	66	1325	06/12/2020	1442/04/19	قصة لوط عليه السلام.m4a	قصة لوط عليه السلام	13:49
67	67	1335	11/12/2020	1441/03/25	العمل والعمال ٢٢ - ١١ - ٢٠١٩.m4a	العمل والعمال	12:03
