DB#,Lesson#,MsgID,GregDate,HijriDate,AudioFilename,Duration
1,1,5550,08.07.2025,1447/01/13,AUD-20250708-WA0004.m4a,22:11
2,2,5998,13.12.2025,1447/06/22,AUD-20251213-WA0007.m4a,12:50
3,3,5999,13.12.2025,1447/06/22,AUD-20250903-WA0000.m4a,11:08
4,4,6966,30.04.2026,1447/11/13,AUDIO-2026-04-30-04-27-19.m4a,26:57
5,5,6000,13.12.2025,1447/06/22,AUD-20251213-WA0008.m4a,16:16
6,6,5739,15.10.2025,1447/04/23,Mp3 Editor_251015104815.mp3,28:58
7,7,5761,17.10.2025,1447/04/25,Mp3 Editor_251017165500.mp3,24:03
8,8,5814,26.10.2025,1447/05/04,AUD-20251021-WA0054.m4a,38:24
9,9,5829,29.10.2025,1447/05/07,AUD-20251028-WA0003.m4a,20:27
10,10,6001,13.12.2025,1447/06/22,AUD-20251213-WA0009.m4a,18:14
11,11,6968,30.04.2026,1447/11/13,AUDIO-2026-04-30-04-53-45.m4a,23:25
12,12,6969,30.04.2026,1447/11/13,AUDIO-2026-04-30-04-46-05.m4a,22:39
13,13,5970,09.12.2025,1447/06/18,AUD-20251208-WA0008.m4a,28:36
14,14,6002,13.12.2025,1447/06/22,AUD-20251213-WA0010.m4a,26:10
15,15,6058,22.12.2025,1447/06/26,(لا توجد تسجيل),
16,16,6126,31.12.2025,1447/07/10,AUDIO-2025-12-30-21-23-04.m4a,18:49
17,17,6243,21.01.2026,1447/08/01,AUDIO-2026-01-20-21-21-11.m4a,19:51
18,18,6292,28.01.2026,1447/08/08,AUDIO-2026-01-27-22-09-23.m4a,34:10
19,19,6366,04.02.2026,1447/08/15,AUDIO-2026-02-03-21-22-47.m4a,20:52
20,20,6586,01.04.2026,1447/10/12,AUDIO-2026-03-31-23-28-35.m4a,25:44
21,21,6688,08.04.2026,1447/10/19,AUDIO-2026-04-07-21-37-07.m4a,28:19
22,22,6810,16.04.2026,1447/10/26,AUDIO-2026-04-14-21-47-53.m4a,14:28
23,23,6881,24.04.2026,1447/11/04,AUDIO-2026-04-21-21-54-36.m4a,23:18
24,24,6932,28.04.2026,1447/11/11,AUDIO-2026-04-28-20-23-11.m4a,08:49
25,25,6935,29.04.2026,1447/11/11,AUDIO-2026-04-28-19-51-14.m4a,14:07
26,26,7136,08.05.2026,1447/11/18,AUDIO-2026-05-05-22-05-19.m4a,33:52
27,27,7434,21.05.2026,1447/12/02,AUDIO-2026-05-20-09-08-42.m4a,23:43
28,28,7435,21.05.2026,1447/12/02,AUDIO-2026-05-20-09-09-34.m4a,21:34
