#,Filename,Category,DateHint,FoundInHTML,MsgID,GregDate,HijriDate,Duration,PossibleSeries,LessonNum,TitleHint,TextSnippet
1,222_1024_هل_الردود_على_أهل_الباطل_تقسي_القلوب؟_الشيخ_صالح_الفوزانM4A.m4a,غير مصنف / يحتاج تحديد,,YES,4936,07/12/2024,,,,,,
2,4_5874187862630466395.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,5874187862630466395,,
3,4_5900009386402647755.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,5900009386402647755,,
4,4_5951754688528388802.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,5951754688528388802,,
5,4_5992475423785622177 (1).m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,,,
6,Fiqh44.m4a,غير مصنف / يحتاج تحديد,,YES,6979,30/04/2026,1447/11/12,7:37,,,,🔸 الملخص الفقهي 🔸 للعلامة صالح الفوزان حفظه الله 🔹 الدرس الرابع والأربعون بجامع الورود من كتاب الصلاة(٢٤) باب صلاة المسبوق بحي الورورد بجدة - ١٤٤٧/١١/١٢ مع فضيلة الشيخ حسن بن محمد منصور الدغريري حفظه الله ورعاه 🎙 مدة الصوتية 7:37 دقيقة --- 📌 للاستماع عبر التلجرام: ╭─═┅┅┅┅┅┅┅═─╮ https://t.me/daririha
7,PTT-20240612-WA0002.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,0002,,
8,RxHz_fCLljQ.m4a,غير مصنف / يحتاج تحديد,,YES,194,09/10/2018,,,,,,خطبة جمعة صوم شعبان للشيخ حسن بن محمد منصور الدغريري رابط ملف الصوت المباشر: https://b.top4top.net/m_1012b2j481.m4a
9,S-LD0gmmtd4.m4a,غير مصنف / يحتاج تحديد,,YES,192,09/10/2018,,,وقفات رمضان,,,وقفات رمضان ( 3 ) - خطبة جمعة للشيخ حسن بن محمد منصور الدغريري .رابط ملف الصوت المباشر: https://e.top4top.net/m_1012vwkqu1.m4a
10,_⁨الأفنان_الندية_كتاب_الصلاة_الدرس_رقم_43⁩.m4a,غير مصنف / يحتاج تحديد,,YES,3922,27/12/2023,,48:29,,,الأفنان الندية,‏‌‏🔸 [ القراءة والتعليق على كتاب #الأفنان_الندية شرح السبل السوية ] 🔸 تأليف العلامة زيد بن محمد المدخلي رحمه الله 🔹 الدرس الثالث والأربعون : من كتاب الصلاة 🔹 باب صلاة السفر لفضيلة الشيخ حسن بن محمد منصور الدغريري حفظه الله 🎙للإستماع إلى الصوتية : https://t.me/daririhasan/3922 00:00 ـ──━━◉ 48:29 ا⇄ا 
11,audio.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,,,
12,combined_audio.m4a,غير مصنف / يحتاج تحديد,,YES,6951,29/04/2026,1447/11/10,30:17,تأسيس الأحكام,,,‏‌‏‌🔸 تأسيس الأحكام شرح عمدة الأحكام 🔸 للعلامة أحمد النجمي رحمه الله 🔹 الدرس الخامس والثلاثون - كتاب الصلاة - باب صلاة االخوف - بجامع الورود بحي الورود بجدة - ١٤٤٧/١١/١٠ مع فضيلة الشيخ حسن بن محمد منصور الدغريري حفظه الله ورعاه 🎙 مدة الصوتية: 30:17 دقيقة --- 📌 للاستماع عبر التلجرام: ╭─═┅┅┅┅┅┅┅═─╮ ht
13,dzybJzR7tug.m4a,غير مصنف / يحتاج تحديد,,YES,195,09/10/2018,,,خطبة عيد,,,خطبة عيد الفطر المبارك لعام 1439هـ للشيخ حسن بن محمد منصور الدغريري رابط ملف الصوت المباشر: https://a.top4top.net/m_1012o5q7j1.m4a
14,m_1393hf7bz1.m4a,غير مصنف / يحتاج تحديد,,YES,484,25/10/2019,,,,,,
15,m_2230775m51.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,51,,
16,أحكام القضاء للصيام ١٤٤١.m4a,غير مصنف / يحتاج تحديد,,YES,935,09/05/2020,1441/09/16,08:27,,,,••• ═══ ༻✿༺═══ ••• 【سلسلة حلقات رمضانية 1441هـ】 ❍‏ الحلقة الثانية عشر 🎤 (( أحكام القضاء للصيام )) 🎧 للشيخ حسن بن محمد منصور الدغريري حفظه الله ❒ 08:27 د ❒ السبت 16 رمضان 1441هـ 🔹رابط التحميل : 🖇 https://h.top4top.io/m_1590taswn1.m4a ••• ═══ ༻✿༺═══ ••• https://t.me/daririhasan/935
17,أخطاء_في_الطهارة_والصلاة_١_٧_٧_١٤٤٢.m4a,غير مصنف / يحتاج تحديد,,YES,1410,19/02/2021,1442/07/07,13:33,خطبة الجمعة,,,📌خطبة الجمعة 🌀 أخطاء في الطهارة والصلاة (١) 🌀 🎧 للشيخ الفاضل / حسن بن محمد منصور الدغريري -حفظه الله ورعاه- ⏰ المدة : 13:33 د 🗓 الجمعة 07 رجب 1442هـ 🔗 رابط الصوتية: 🖇 https://k.top4top.io/m_1876gkkmv1.m4a 🎥 رابط اليوتيوب: 🖇 ══ا ¤❁💎❁¤ ا══ 🔹 قناة الواتس آب : 🖇 https://chat.whatsapp.com/KXlr7A6TNu3Fnaj
