#,Filename,Series,LessonNum,MsgID,GregDate,HijriDate,Duration,TitleHint,Notes
1,AUD-20230504-WA0004.m4a,أعلام السنة المنشورة (الحكمي),1,3242,04/05/2023,,37:15,أعلام السنة المنشورة,
2,AUD-20230904-WA0051.m4a,أعلام السنة المنشورة (الحكمي),8,3635,05/09/2023,,16:44,أعلام السنة المنشورة,
3,AUD-20231006-WA0001 (2).m4a,أعلام السنة المنشورة (الحكمي),12,3747,06/10/2023,,29:15,أعلام السنة المنشورة,
4,AUD-20230608-WA0002.m4a,أعلام السنة المنشورة (الحكمي),5,3371,08/06/2023,,47:17,أعلام السنة المنشورة,
5,AUD-20230510-WA0000.m4a,أعلام السنة المنشورة (الحكمي),2,3258,10/05/2023,,24:26,أعلام السنة المنشورة,
6,AUD-20230814-WA0045.m4a,أعلام السنة المنشورة (الحكمي),6,3538,15/08/2023,,24:19,أعلام السنة المنشورة,
7,AUD-20230915-WA0001.m4a,أعلام السنة المنشورة (الحكمي),9,3668,15/09/2023,,32:41,أعلام السنة المنشورة,
8,AUD-20230919-WA0002.m4a,أعلام السنة المنشورة (الحكمي),10,3688,19/09/2023,,32:03,أعلام السنة المنشورة,
9,AUD-20231019-WA0018.m4a,أعلام السنة المنشورة (الحكمي),13,3786,20/10/2023,,31:36,أعلام السنة المنشورة,
10,AUD-20230517-WA0010.m4a,أعلام السنة المنشورة (الحكمي),3,3308,21/05/2023,,30:46,أعلام السنة المنشورة,
11,AUD-20230926-WA0000.m4a,أعلام السنة المنشورة (الحكمي),11,3714,26/09/2023,,29:04,أعلام السنة المنشورة,
12,AUD-20230828-WA0007.m4a,أعلام السنة المنشورة (الحكمي),7,3597,29/08/2023,,17:18,أعلام السنة المنشورة,
13,AUD-20230531-WA0007.m4a,أعلام السنة المنشورة (الحكمي),4,3341,31/05/2023,,40:32,أعلام السنة المنشورة,
14,AUD-20240819-WA0002.m4a,أفنان الندية,5,4576,20/08/2024,,30:46,الأفنان الندية,
15,_⁨الأفنان_الندية_كتاب_الصلاة_الدرس_رقم_43⁩.m4a,أفنان الندية,3,3922,27/12/2023,,48:29,الأفنان الندية,
16,AUD-20220704-WA0005.m4a,أفنان الندية - كتاب الحج,10,2282,04/07/2022,,,جديد الدروس,
17,الدرس السابع عشر.m4a,أفنان الندية - كتاب الحج,17,4751,14/10/2024,,,جديد الدروس,
18,AUD-20220721-WA0002.m4a,أفنان الندية - كتاب الحج,14,4748,14/10/2024,,,جديد الدروس,
19,AUD-20220725-WA0004.m4a,أفنان الندية - كتاب الحج,16,4750,14/10/2024,,,جديد الدروس,
20,AUD-20220726-WA0002.m4a,أفنان الندية - كتاب الحج,18,4752,14/10/2024,,,جديد الدروس,آخر درس في السلسلة
21,AUD-20220621-WA0000.m4a,أفنان الندية - كتاب الحج,9,2268,21/06/2022,,,جديد الدروس,
22,AUD-20230103-WA0015.m4a,إتمام المنة شرح أصول السنة (النجمي),4,2792,04/01/2023,,14:33,إتمام المنة,
23,AUDIO-2026-04-04-22-00-41.m4a,إتمام المنة شرح أصول السنة (النجمي),4,6651,05/04/2026,,1:06,,
24,AUDIO-2026-02-08-07-40-16.m4a,إتمام المنة شرح أصول السنة (النجمي),3,6380,08/02/2026,,29:17,,
25,AUD-20230111-WA0003.m4a,إتمام المنة شرح أصول السنة (النجمي),5,2846,11/01/2023,,41:21,إتمام المنة,
26,AUD-20221213-WA0010.m4a,إتمام المنة شرح أصول السنة (النجمي),1,2690,14/12/2022,,30:51,إتمام المنة,
27,AUD-20230117-WA0020.m4a,إتمام المنة شرح أصول السنة (النجمي),6,2878,18/01/2023,,38:09,إتمام المنة,آخر درس في السلسلة
28,AUD-20221221-WA0002.m4a,إتمام المنة شرح أصول السنة (النجمي),2,2709,21/12/2022,,29:09,إتمام المنة,
29,AUD-20221228-WA0001.m4a,إتمام المنة شرح أصول السنة (النجمي),3,2748,28/12/2022,,28:42,إتمام المنة,
30,AUD-20220201-WA0004.m4a,التعليق على شرح كتاب التوحيد (النجمي),,1985,01/02/2022,1443/06/29,,جديد الدروس,
31,AUD-20210901-WA0003.m4a,التعليق على شرح كتاب التوحيد (النجمي),34,1724,01/09/2021,,,جديد الدروس,
32,AUD-20211102-WA0012.m4a,التعليق على شرح كتاب التوحيد (النجمي),,1823,02/11/2021,1443/03/27,,جديد الدروس,
33,AUD-20210303-WA0000.m4a,التعليق على شرح كتاب التوحيد (النجمي),22,1424,03/03/2021,,,جديد الدروس,
