DB#,Lesson#,MsgID,GregDate,HijriDate,AudioFilename,Duration
1,1,4678,24.09.2024,1446/03/21,AUD-20240924-WA0000.m4a,
2,2,4709,11.10.2024,1446/04/08,التعليق_على_القول_السديد_لفضيلة_الشيخ_حسن_بن_محمد_الدغريري.mp3,
3,3,4722,11.10.2024,1446/04/08,AUD-20241011-WA0007.m4a,
4,4,4759,15.10.2024,1446/04/12,AUD-20241015-WA0041.m4a,
5,5,4825,09.11.2024,1446/05/07,AUD-20241104-WA0006.m4a,
6,6,4861,23.11.2024,1446/05/21,AUD-20241123-WA0007.m4a,
7,7,4878,26.11.2024,1446/05/24,AUD-20241125-WA0003.m4a,
8,8,4947,10.12.2024,1446/06/09,AUD-20241209-WA0009.m4a,
9,9,4980,16.12.2024,1446/06/15,AUD-20241216-WA0008.m4a,
10,10,5031,31.12.2024,1446/06/30,AUD-20241231-WA0001.m4a,
11,11,5065,08.01.2025,1446/07/08,AUD-20250108-WA0031.m4a,
12,12,5091,19.01.2025,1446/07/19,AUD-20250118-WA0028.m4a,
13,13,5107,26.01.2025,1446/07/26,AUD-20250126-WA0003.m4a,
