DB#,LessonNum,MsgID,GregDate,HijriDate,AudioFilename,Duration,Chapter
1,1,1151,26/08/2020,,التعليق على شرح كتاب التوحيد 01.m4a,,
2,2,1174,02/09/2020,,التعليق على شرح كتاب التوحيد 02.m4a,,فضل التوحيد وما يكفِّر من الذنوب
3,3,1186,10/09/2020,,التعليق على كتاب التوحيد 03.m4a,,فضل التوحيد وما يكفِّر من الذنوب
4,4,1196,16/09/2020,,التعليق على كتاب التوحيد 04.m4a,,من حقق التوحيد دخل الجنة بغير حساب
5,5,1205,23/09/2020,,التعليق على كتاب التوحيد 05.m4a,,من حقق التوحيد دخل الجنة بغير حساب
6,6,1214,30/09/2020,,التعليق على كتاب التوحيد 06.m4a,,الخوف من الشرك
7,7,1225,07/10/2020,,التعليق على كتاب التوحيد 07.m4a,,الدعاء إلى شهادة أن لا إله إلا الله
8,8,1238,16/10/2020,,التعليق على شرح كتاب التوحيد 08.m4a,,تفسير التوحيد وشهادة أن لا إله إلا الله
9,7,1251,19/10/2020,,درر وفوائد - فضل الدعوة إلى الله.m4a,,التوحيد
10,9,1256,20/10/2020,,التعليق على شرح كتاب التوحيد 09.m4a,,من الشرك لبس الحلقة أو الخيط ونحوهما لرفع البلاء أو دفعه
11,10,1267,27/10/2020,,التعليق على شرح كتاب التوحيد 10.m4a,,ماجاء في الرقى والتمائم
12,11,1272,04/11/2020,,التعليق على شرح كتاب التوحيد 11.m4a,,من تبرك بشجرة أو حجر ونحوهما
13,12,1289,11/11/2020,,التعليق على شرح كتاب التوحيد 12.m4a,,ماجاء في الذبح لغير الله
14,13,1296,18/11/2020,,التعليق على شرح كتاب التوحيد 13.m4a,,لا يذبح لله بمكان يذبح فيه لغير الله
15,14,1305,24/11/2020,,التعليق على شرح كتاب التوحيد 14.m4a,,من الشرك النذر لغير الله
16,15,1314,02/12/2020,,التعليق على شرح كتاب التوحيد 15.m4a,,من الشرك الاستعاذة بغير الله تعالى
17,16,1329,09/12/2020,,التعليق على شرح كتاب التوحيد 16.m4a,,من الشرك أن يستغيث بغير الله تعالى أو يدعو غيره
18,17,1340,16/12/2020,,التعليق على شرح كتاب التوحيد 17.m4a,,
19,18,1372,21/01/2021,,التعليق على كتاب التوحيد 18.m4a,,
20,19,1381,27/01/2021,,التعليق على شرح كتاب التوحيد 19.m4a,,
21,20,1398,10/02/2021,,التعليق على شرح كتاب التوحيد 20.m4a,,
22,,1408,17/02/2021,,التعليق على شرح كتاب التوحيد 21.m4a,,ماجاء أن سبب كفر بني آدم وتركهم دينهم هو الغلو في الصالحين
23,22,1424,03/03/2021,,AUD-20210303-WA0000.m4a,,ماجاء من التغليظ فيمن عبد الله عند قبر رجل صالح فكيف إذا عبده
24,23,1443,10/03/2021,,AUD-20210310-WA0000.m4a,,ماجاء أن الغلو في قبور الصالحين تصيرها أوثانا تعبد من دون الله
25,24,1455,24/03/2021,,AUD-20210323-WA0004.m4a,,ماجاء في حماية المصطفى صلى الله عليه وسلم جناب التوحيد، وسد كل طريق يوصل إلى الشرك
26,25,1481,07/04/2021,,التعليق على شرح كتاب التوحيد 25.mp3,,ماجاء أن بعض هذه الأمة بعبد الأوثان
27,26,1483,07/04/2021,,AUD-20210407-WA0000.m4a,,ماجاء أن بعض هذه الأمة بعبد الأوثان (تكملة)
28,27,1544,19/05/2021,1442/10/06,AUD-20210519-WA0001.m4a,,ماجاء في السحر
29,28,1556,26/05/2021,1442/10/13,AUD-20210526-WA0001.m4a,,بيان شيء من أنواع السحر
