DB#,MsgID,GregDate,HijriDate,AudioFilename,Duration,Title,Keyword
1,277,27/01/2019,1440/05/21,نصيحة عامة.mp3,,نصيحة عامة,جديد_الكلمات
2,395,06/07/2019,1440/11/03,فضل العلم والحث على تحصيله.mp3,,فضل العلم والحث على تحصيله,جديد_الكلمات
3,438,18/09/2019,1441/01/19,أسباب الثبات على طلب العلم.3gp,,أسباب الثبات على طلب العلم,جديد_الكلمات
4,487,07/11/2019,1441/03/10,AUD-20191107-WA0006._,,الحث على الائتلاف والاجتماع على الحق,جديد_الكلمات
5,508,17/11/2019,1441/03/20,AUD-20191117-WA0005._,,علو الهمة في طلب العلم,جديد_الكلمات
6,524,29/11/2019,1441/04/01,شرح_حديث_لا_تزال_طائفة_من_أمتي_ظاهرين.m4a,,شرح حديث : { لاتزال طائفة من أمتي ظاهرين على الحق },جديد_الكلمات
7,572,01/01/2020,1441/05/06,AUD-20200101-WA0005._,,وصايا لطلاب العلم,جديد_الكلمات
8,586,07/01/2020,1441/05/10,أهمية_العقيدة_والتوحيد_وبيان_فضل.m4a,,أهمية العقيدة والتوحيد وبيان فضل ذلك,جديد_الكلمات
9,671,28/02/2020,1441/06/30,بعض أحكام الجهاد.m4a,21:52,بعض أحكام الجهاد ( وفيها فضل قتال الخوارج ),جديد_الكلمات
10,679,02/03/2020,1441/07/07,كلمة في الحث على طلب العلم.mp3,4:45,الحث على طلب العلم الشرعي ( وفيها فضل الدعوة إلى الله على وفق المنهج السلفي القويم ),جديد_الكلمات
11,692,09/03/2020,1441/07/14,توحيد رب العالمين ١٤ رجب ١٤٤١.mp3,15:02,توحيد رب العالمين,جديد_الكلمات
12,710,14/03/2020,1441/07/19,الموقف_الصحيح_من_وباءفايروس_كورونا_١٩_رجب_١٤٤١.mp3,8:00,الموقف الصحيح من وباء فايروس كورونا,جديد_الكلمات
13,763,25/03/2020,1441/07/28,نعمة_الإسلام_والتمسك_بالمنهج_السلفي.mp3,15:56,نعمة الإسلام والتمسك بالمنهج السلفي,جديد_الكلمات
14,859,11/04/2020,1441/08/18,كلمة حسن الظن بالله تعالى.mp3,21:14,حسن الظن بالله تعالى,جديد_الكلمات
15,892,23/04/2020,1441/08/29,كيف نستقبل شهر رمضان ١٤٤١.mp3,13:44,كيف نستقبل شهر رمضان ١٤٤١,جديد_الكلمات
16,912,04/05/2020,1441/09/11,_1441__320k.mp3,,( مشروعية الحجر الوقائي ),جديد_الكلمات
17,1007,22/06/2020,1441/10/29,مسائل_في_الهجرة_الاحد_٢٩_شوال_١٤٤١.m4a,22:05,مسائل في الهجرة,جديد_الكلمات
18,1029,30/06/2020,1441/10/09,التزام_المسلم_بالسمع_والطاعة_من_اسباب_تجاوز.m4a,11:58,التزام المسلم بالسمع والطاعة من أسباب تجاوز الأزمات,جديد_الكلمات
19,1051,08/07/2020,1441/11/17,الإهتمام_بالسنة_والحرص_عليها_الشيخ_حسن_بن_محمد_المنصور_.m4a,,الإهتمام بالسنة والحرص عليها,جديد_الكلمات
20,1161,28/08/2020,1442/01/09,عاشوراء وبيان فضله ٨ - ١ - ١٤٤٢.m4a,14:01,عاشوراء وبيان فضله,جديد_الكلمات
21,1220,02/10/2020,1442/02/15,كلمة السلفية قول وعمل ١٤ - ٢ - ١٤٤٢.m4a,12:13,السلفية قول وعمل,جديد_الكلمات
22,1252,20/10/2020,1442/03/03,أسباب الثبات على طلب العلم.3gp,,أسباب الثبات على طلب العلم,جديد_الكلمات
23,1262,24/10/2020,1441/11/09,كلمة ضمن برنامج اعقلها وتوكل.m4a,,التزام المسلم بالسمع والطاعة من أسباب تجاوز الأزمات,جديد_الكلمات
24,1279,07/11/2020,1442/03/13,التحذير_من_جماعة_الإخوان_وجماعة_التبليغ.mp3,,التحذير من جماعة الإخوان المسلمين وجماعة التبلبغ,محاضرة بعنوان
25,1281,07/11/2020,1442/03/13,كلمة_بعنوان_أكل_مال_اليتيم_٢٠_٣_١٤٤٢.m4a,,أكل مال اليتيم,جديد_الكلمات
26,1331,10/12/2020,1442/04/21,نصائح وتوجيهات ٢١ - ٤ - ١٤٤٢.mp3,,نصائح وتوجيهات,جديد_الكلمات
27,1359,03/01/2021,1442/05/12,فضل_قراءة_كتب_أهل_العلم_12_جمادى_الأولى_1442.mp3,,فضل قراءة كتب أهل العلم,جديد_الكلمات
28,1366,12/01/2021,1442/05/27,الجدل وضوابطه ٢٧ - ٥ - ١٤٤٢.m4a,,الجدل وضوابطه,جديد_الكلمات
29,1390,06/02/2021,1442/06/22,الوصية_بأخذ_اللقاحات_والحذر_من_التشكيك_فيها.mp3,,الوصية بالأخذ اللقاحات والحذر من التشكيك فيها,جديد_الكلمات
30,1392,07/02/2021,1442/06/25,ترجمة_مختصرة_للشيخ_العلامة_احمد_النجمي.m4a,,ترجمة مختصرة,كلمة بعنوان
31,1433,06/03/2021,1442/07/21,نصيحة في طلب العلم ٢١ - ٧ - ١٤٤٢.mp3,,نصيحة في طلب العلم وفضل الدعوة إلى الله,جديد_الكلمات
32,1447,12/03/2021,1442/07/28,AUD-20210312-WA0003.m4a,,وجوب إعطاء العمال حقوقهم,جديد_الكلمات
33,1449,12/03/2021,1442/07/27,AUD-20210312-WA0004.m4a,,صيام شهر شعبان ١٤٤٢,جديد_الكلمات
34,1453,16/03/2021,1442/08/01,AUD-20210316-WA0003.m4a,,شرح حديث { أعطوا الأجير أجره قبل أن يجف عرقه } رواه ابن ماجه وصححه الألباني,جديد_الكلمات
35,1466,01/04/2021,1442/08/17,AUD-20210331-WA0002.m4a,,كيف نستقبل شهر رمضان ١٤٤٢ وذكر شيء من أحكامه وآدابه,جديد_الكلمات
36,1472,05/04/2021,1441/08/29,كيف نستقبل شهر رمضان ١٤٤١.mp3,13:44,كيف نستقبل شهر رمضان ١٤٤١,جديد_الكلمات
