DB#,LessonNumInText,MsgID,GregDate,HijriDate,AudioFilename,Duration,ChapterNote
1,34,1797,24.10.2021,1443/03/13,AUD-20211024-WA0008.m4a,22:38,
2,35,1810,27.10.2021,1443/03/20,AUD-20211027-WA0023.m4a,23:00,
3,36,1837,11.11.2021,1443/04/06,AUD-20211111-WA0001.m4a,26:35,
4,37,1869,24.11.2021,1443/04/19,AUD-20211124-WA0033.m4a,26:31,
5,37,1876,30.11.2021,1443/04/25,التعليق_على_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_zos88VZk4dU.m4a,,
6,38,1890,09.12.2021,1443/05/04,AUD-20211208-WA0005.m4a,27:57,
7,39,1911,16.12.2021,1443/05/11,AUD-20211216-WA0001.m4a,29:30,
8,40,1920,25.12.2021,1443/05/18,AUD-20211225-WA0001.m4a,33:56,
9,41,1944,06.01.2022,1443/06/02,AUD-20220106-WA0003.m4a,37:44,
10,42,1955,14.01.2022,1443/06/09,4_5983457770580479305.m4a,31:09,
11,43,1977,27.01.2022,1443/06/23,AUD-20220126-WA0001.m4a,41:07,
12,44,2010,10.02.2022,1443/07/08,AUD-20220210-WA0006.m4a,25:33,
13,45,2022,17.02.2022,1443/07/16,AUD-20220217-WA0002.m4a,28:19,
14,2,2033,19.02.2022,1443/07/18,AUD-20220219-WA0002.m4a,19:53,
15,4,2037,21.02.2022,1443/07/20,AUD-20220221-WA0001.m4a,16:09,
16,9,2042,24.02.2022,1443/07/23,AUD-20220224-WA0008.m4a,5:41,
17,12,2046,26.02.2022,1443/07/25,AUD-20220226-WA0005.m4a,19:28,
18,20,2060,10.03.2022,1443/08/07,AUD-20220310-WA0003.m4a,7:35,
19,21,2062,10.03.2022,1443/08/07,AUD-20220310-WA0004.m4a,10:57,
20,22,2064,10.03.2022,1443/08/07,AUD-20220310-WA0005.m4a,13:34,
21,28,2067,10.03.2022,1443/08/07,AUD-20220310-WA0006.m4a,11:54,
22,31,2076,13.03.2022,1443/08/10,AUD-20220312-WA0010.m4a,11:40,كتاب الصلاة
23,46,2082,19.03.2022,1443/08/13,AUD-20220318-WA0003.m4a,45:29,
24,47,2108,04.04.2022,1443/08/27,AUD-20220331-WA0002.m4a,48:55,
25,8,2143,15.04.2022,1443/09/13,AUD-20220414-WA0033.m4a,,كتاب الصيام
26,9,2147,16.04.2022,1443/09/14,AUD-20220416-WA0002.m4a,,كتاب الصيام
27,10,2149,17.04.2022,1443/09/15,AUD-20220416-WA0008.m4a,,كتاب الصيام
28,11,2151,18.04.2022,1443/09/16,AUD-20220417-WA0003.m4a,,كتاب الصيام
29,12,2153,18.04.2022,1443/09/17,AUD-20220418-WA0014.m4a,,كتاب الصيام
30,48,2188,12.05.2022,1443/10/10,AUD-20220511-WA0010.m4a,35:06,
31,49,2200,19.05.2022,1443/10/17,AUD-20220518-WA0008.m4a,24:31,
32,50,2219,26.05.2022,1443/10/24,AUD-20220525-WA0005.m4a,30:29,
33,51,2233,04.06.2022,1443/11/02,AUD-20220604-WA0007.m4a,27:46,
34,52,2237,09.06.2022,1443/11/09,AUD-20220609-WA0000.m4a,29:03,
35,53,2274,28.06.2022,1443/11/29,AUD-20220628-WA0002.m4a,25:41,
36,54,2381,08.09.2022,1444/02/12,AUD-20220907-WA0004.m4a,36:10,
37,55,2406,21.09.2022,1444/02/25,AUD-20220921-WA0002.m4a,32:30,
38,56,2445,12.10.2022,1444/03/16,AUD-20221012-WA0020.m4a,39:19,
39,57,2452,12.10.2022,1444/03/16,AUD-20221012-WA0022.m4a,19:38,
40,58,2481,19.10.2022,1444/03/23,AUD-20221019-WA0001.m4a,28:23,
41,59,2515,26.10.2022,1444/04/01,AUD-20221026-WA0016.m4a,23:08,
42,60,2534,03.11.2022,1444/04/09,AUD-20221102-WA0006.m4a,25:17,
43,61,2571,10.11.2022,1444/04/16,AUD-20221109-WA0017.m4a,26:45,
44,62,2693,15.12.2022,1444/05/21,AUD-20221214-WA0007 (1).m4a,40:30,
45,63,2712,22.12.2022,1444/05/28,AUD-20221221-WA0015.m4a,38:10,
46,64,2752,29.12.2022,1444/06/05,AUD-20221228-WA0006.m4a,37:42,
47,65,2949,02.02.2023,1444/07/11,AUD-20230202-WA0002.m4a,11:28,
